"Run_ID","US_ID","Condicao","Repeticao","Ordem","Data_hora","Arquivo_saida","Status","Erro"
"US22_CT_R5","US22","CT","5","1","2026-07-13T16:26:42","C:\Users\lucas\OneDrive\Documentos\experimento-mestrado\runs\US22_CT_R5\clarification-full.md","Valida",""
"US08_CT_R3","US08","CT","3","2","2026-07-13T16:27:05","C:\Users\lucas\OneDrive\Documentos\experimento-mestrado\runs\US08_CT_R3\clarification-full.md","Valida",""
"US19_CS_R3","US19","CS","3","3","2026-07-13T16:27:29","C:\Users\lucas\OneDrive\Documentos\experimento-mestrado\runs\US19_CS_R3\clarification-full.md","Valida",""
"US02_CD_R4","US02","CD","4","4","2026-07-13T16:27:54","C:\Users\lucas\OneDrive\Documentos\experimento-mestrado\runs\US02_CD_R4\clarification-full.md","Valida",""
"US02_CD_R1","US02","CD","1","5","2026-07-13T16:28:19","C:\Users\lucas\OneDrive\Documentos\experimento-mestrado\runs\US02_CD_R1\clarification-full.md","Valida",""
"US02_CO_R5","US02","CO","5","6","2026-07-13T16:28:44","C:\Users\lucas\OneDrive\Documentos\experimento-mestrado\runs\US02_CO_R5\clarification-full.md","Valida",""
"US02_CD_R2","US02","CD","2","7","2026-07-13T16:29:07","C:\Users\lucas\OneDrive\Documentos\experimento-mestrado\runs\US02_CD_R2\clarification-full.md","Valida",""
"US19_CS_R2","US19","CS","2","8","2026-07-13T16:29:28","C:\Users\lucas\OneDrive\Documentos\experimento-mestrado\runs\US19_CS_R2\clarification-full.md","Valida",""
"US08_C0_R3","US08","C0","3","9","2026-07-13T16:29:52","C:\Users\lucas\OneDrive\Documentos\experimento-mestrado\runs\US08_C0_R3\clarification-full.md","Valida",""
"US08_CO_R2","US08","CO","2","10","2026-07-13T16:30:20","C:\Users\lucas\OneDrive\Documentos\experimento-mestrado\runs\US08_CO_R2\clarification-full.md","Valida",""
"US02_CD_R3","US02","CD","3","11","2026-07-13T16:30:45","C:\Users\lucas\OneDrive\Documentos\experimento-mestrado\runs\US02_CD_R3\clarification-full.md","Valida",""
"US19_C0_R2","US19","C0","2","12","2026-07-13T16:31:09","C:\Users\lucas\OneDrive\Documentos\experimento-mestrado\runs\US19_C0_R2\clarification-full.md","Valida",""
"US19_C0_R1","US19","C0","1","13","2026-07-13T16:31:33","C:\Users\lucas\OneDrive\Documentos\experimento-mestrado\runs\US19_C0_R1\clarification-full.md","Valida",""
"US02_CT_R1","US02","CT","1","14","2026-07-13T16:31:51","C:\Users\lucas\OneDrive\Documentos\experimento-mestrado\runs\US02_CT_R1\clarification-full.md","Valida",""
"US19_C0_R5","US19","C0","5","15","2026-07-13T16:32:16","C:\Users\lucas\OneDrive\Documentos\experimento-mestrado\runs\US19_C0_R5\clarification-full.md","Valida",""
"US02_C0_R4","US02","C0","4","16","2026-07-13T16:32:39","C:\Users\lucas\OneDrive\Documentos\experimento-mestrado\runs\US02_C0_R4\clarification-full.md","Valida",""
"US19_CO_R2","US19","CO","2","17","2026-07-13T16:33:03","C:\Users\lucas\OneDrive\Documentos\experimento-mestrado\runs\US19_CO_R2\clarification-full.md","Valida",""
"US08_CO_R4","US08","CO","4","18","2026-07-13T16:33:31","C:\Users\lucas\OneDrive\Documentos\experimento-mestrado\runs\US08_CO_R4\clarification-full.md","Valida",""
"US22_CS_R3","US22","CS","3","19","2026-07-13T16:33:53","C:\Users\lucas\OneDrive\Documentos\experimento-mestrado\runs\US22_CS_R3\clarification-full.md","Valida",""
"US02_CT_R2","US02","CT","2","20","2026-07-13T16:34:19","C:\Users\lucas\OneDrive\Documentos\experimento-mestrado\runs\US02_CT_R2\clarification-full.md","Valida",""
"US19_CT_R2","US19","CT","2","21","2026-07-13T16:34:42","C:\Users\lucas\OneDrive\Documentos\experimento-mestrado\runs\US19_CT_R2\clarification-full.md","Valida",""
