Run_ID,US_ID,Condition,Loop,annotated_questions,distinct_normalized_gaps,necessary_unanswered,redundant_questions
US02_C0_R1,US02,C0,1,5,5,4,0
US02_C0_R2,US02,C0,2,5,5,4,0
US02_C0_R3,US02,C0,3,5,5,3,0
US02_C0_R4,US02,C0,4,5,5,4,0
US02_C0_R5,US02,C0,5,5,5,4,0
US02_CD_R1,US02,CD,1,5,5,4,0
US02_CD_R2,US02,CD,2,5,5,4,0
US02_CD_R3,US02,CD,3,5,5,3,0
US02_CD_R4,US02,CD,4,5,5,3,0
US02_CD_R5,US02,CD,5,5,5,4,0
US02_CL_R1,US02,CL,1,5,5,4,0
US02_CL_R2,US02,CL,2,5,5,4,0
US02_CL_R3,US02,CL,3,5,5,4,0
US02_CL_R4,US02,CL,4,5,5,4,0
US02_CL_R5,US02,CL,5,5,5,3,0
US02_CO_R1,US02,CO,1,5,5,1,0
US02_CO_R2,US02,CO,2,5,5,1,0
US02_CO_R3,US02,CO,3,5,5,2,0
US02_CO_R4,US02,CO,4,5,5,2,0
US02_CO_R5,US02,CO,5,5,5,1,0
US02_CS_R1,US02,CS,1,5,5,3,0
US02_CS_R2,US02,CS,2,5,5,4,0
US02_CS_R3,US02,CS,3,5,4,4,0
US02_CS_R4,US02,CS,4,5,4,4,0
US02_CS_R5,US02,CS,5,5,5,4,0
US02_CT_R1,US02,CT,1,5,4,3,0
US02_CT_R2,US02,CT,2,5,5,2,0
US02_CT_R3,US02,CT,3,5,5,2,0
US02_CT_R4,US02,CT,4,5,5,3,0
US02_CT_R5,US02,CT,5,5,5,2,0
US08_C0_R1,US08,C0,1,5,5,3,0
US08_C0_R2,US08,C0,2,5,5,3,0
US08_C0_R3,US08,C0,3,5,5,2,0
US08_C0_R4,US08,C0,4,5,5,3,0
US08_C0_R5,US08,C0,5,5,5,2,0
US08_CD_R1,US08,CD,1,5,5,0,0
US08_CD_R2,US08,CD,2,5,5,0,1
US08_CD_R3,US08,CD,3,5,5,1,1
US08_CD_R4,US08,CD,4,4,4,0,1
US08_CD_R5,US08,CD,5,5,5,1,0
US08_CL_R1,US08,CL,1,5,5,3,0
US08_CL_R2,US08,CL,2,5,5,2,0
US08_CL_R3,US08,CL,3,5,5,1,1
US08_CL_R4,US08,CL,4,5,5,2,1
US08_CL_R5,US08,CL,5,5,5,1,0
US08_CO_R1,US08,CO,1,5,5,0,1
US08_CO_R2,US08,CO,2,5,5,0,1
US08_CO_R3,US08,CO,3,5,5,0,0
US08_CO_R4,US08,CO,4,5,5,0,0
US08_CO_R5,US08,CO,5,5,5,0,1
US08_CS_R1,US08,CS,1,5,5,2,0
US08_CS_R2,US08,CS,2,5,5,1,1
US08_CS_R3,US08,CS,3,5,5,1,1
US08_CS_R4,US08,CS,4,5,5,2,0
US08_CS_R5,US08,CS,5,5,5,1,0
US08_CT_R1,US08,CT,1,4,4,0,1
US08_CT_R2,US08,CT,2,5,5,0,1
US08_CT_R3,US08,CT,3,5,5,0,2
US08_CT_R4,US08,CT,4,5,5,0,2
US08_CT_R5,US08,CT,5,5,5,0,3
US19_C0_R1,US19,C0,1,5,5,2,0
US19_C0_R2,US19,C0,2,5,5,2,0
